model,MAE,RMSE,MAPE,R2
Naive Persistence (t-1),26.031138335885657,65.17753663085122,21.86093169752916,0.4488981380557595
Decision Tree (lag_1 only),28.462263616035386,61.356347178143245,26.92514290015671,0.5119398035172531
Random Forest,41.98269342632224,66.48025152773151,46.69061714321573,0.42701967963634424
XGBoost,55.77107620239258,79.8359126535092,68.93068601056439,0.1736748218536377
Linear Regression (log target),27.692456287284262,71.91698352902995,22.606964592007355,0.32947137246433
Linear Regression (standard),26.842925809943615,58.98084125006286,25.182377724062082,0.5490002269433012
