model,MAE,RMSE,MAPE,R2,best_params
LSTM (Optimized),33.5073710037126,71.854660790542,30.404822121648735,0.3310904699596886,"{'units_1': 80, 'units_2': 64, 'dropout': 0.21258487437282406, 'lr': 0.0008724520485545297, 'batch_size': 32}"
GRU (Optimized),40.72650681049707,72.34758306130843,44.10847768940475,0.3218815657572076,"{'units_1': 96, 'units_2': 64, 'dropout': 0.13825071240472442, 'lr': 0.002549242441606171, 'batch_size': 32}"
CNN-LSTM_v2 (Optimized),39.355465241884495,72.4962979992008,41.30752034466036,0.31909087159686966,"{'units_1': 80, 'units_2': 48, 'dropout': 0.24751448746312776, 'lr': 0.0013280360223727724, 'batch_size': 32}"
Bi-LSTM (Optimized),34.40476837333951,71.48335364358955,32.43374216786143,0.33798575444898993,"{'units_1': 80, 'units_2': 16, 'dropout': 0.23408880793166598, 'lr': 0.001344623497142059, 'batch_size': 32}"
