model,MAE,RMSE,MAPE,R2
LSTM,37.132062229989344,72.25671456552877,37.80104152069006,0.3235839282244375
GRU,35.32003018506384,73.1207585202655,34.64765758921321,0.3073100729960394
CNN-LSTM_v2,39.528214523241225,76.35791021292334,38.81469194334323,0.24461985664697072
Bi-LSTM,39.03703612051017,73.00497698897642,41.22446883133662,0.30950198692090414
